"country" "region" "year" "iso"
"Estonia" "Europe & Central Asia" 2000 "EST"
"Estonia" "Europe & Central Asia" 2001 "EST"
"Estonia" "Europe & Central Asia" 2002 "EST"
"Estonia" "Europe & Central Asia" 2003 "EST"
"Estonia" "Europe & Central Asia" 2004 "EST"
"Ethiopia" "Sub-Saharan Africa" 1981.5 "ETH"
"Ethiopia" "Sub-Saharan Africa" 1995 "ETH"
"Ethiopia" "Sub-Saharan Africa" 1999.5 "ETH"
"Ethiopia" "Sub-Saharan Africa" 2005 "ETH"
"Ethiopia" "Sub-Saharan Africa" 2010.5 "ETH"
"Fiji" "East Asia & Pacific" 2002.5 "FJI"
"Fiji" "East Asia & Pacific" 2008.5 "FJI"
"Gabon" "Sub-Saharan Africa" 2005 "GAB"
"Gambia, The" "Sub-Saharan Africa" 1998 "GMB"
"Gambia, The" "Sub-Saharan Africa" 2003 "GMB"
"Georgia" "Europe & Central Asia" 1996 "GEO"
"Georgia" "Europe & Central Asia" 1997 "GEO"
"Georgia" "Europe & Central Asia" 1998 "GEO"
"Georgia" "Europe & Central Asia" 1999 "GEO"
"Georgia" "Europe & Central Asia" 2000 "GEO"
"Georgia" "Europe & Central Asia" 2001 "GEO"
"Georgia" "Europe & Central Asia" 2002 "GEO"
"Georgia" "Europe & Central Asia" 2003 "GEO"
"Georgia" "Europe & Central Asia" 2005 "GEO"
"Georgia" "Europe & Central Asia" 2006 "GEO"
"Georgia" "Europe & Central Asia" 2007 "GEO"
"Georgia" "Europe & Central Asia" 2008 "GEO"
"Georgia" "Europe & Central Asia" 2009 "GEO"
"Georgia" "Europe & Central Asia" 2010 "GEO"
"Ghana" "Sub-Saharan Africa" 1987.5 "GHA"
"Ghana" "Sub-Saharan Africa" 1988.5 "GHA"
"Ghana" "Sub-Saharan Africa" 1991.5 "GHA"
"Ghana" "Sub-Saharan Africa" 1998.3 "GHA"
"Ghana" "Sub-Saharan Africa" 2005.5 "GHA"
"Guatemala" "Latin America & Caribbean" 1987 "GTM"
"Guatemala" "Latin America & Caribbean" 1989 "GTM"
"Guatemala" "Latin America & Caribbean" 1998 "GTM"
"Guatemala" "Latin America & Caribbean" 2000 "GTM"
"Guatemala" "Latin America & Caribbean" 2002 "GTM"
"Guatemala" "Latin America & Caribbean" 2003 "GTM"
"Guatemala" "Latin America & Caribbean" 2004 "GTM"
"Guatemala" "Latin America & Caribbean" 2006 "GTM"
"Guinea" "Sub-Saharan Africa" 1991 "GIN"
"Guinea" "Sub-Saharan Africa" 1994 "GIN"
"Guinea" "Sub-Saharan Africa" 2003 "GIN"
"Guinea" "Sub-Saharan Africa" 2007 "GIN"
"Guinea-Bissau" "Sub-Saharan Africa" 1991 "GNB"
"Guinea-Bissau" "Sub-Saharan Africa" 1993 "GNB"
"Guinea-Bissau" "Sub-Saharan Africa" 2002 "GNB"
"Guyana" "Latin America & Caribbean" 1992.5 "GUY"
"Guyana" "Latin America & Caribbean" 1998 "GUY"
"Haiti" "Latin America & Caribbean" 2001 "HTI"
"Honduras" "Latin America & Caribbean" 1989 "HND"
"Honduras" "Latin America & Caribbean" 1990 "HND"
"Honduras" "Latin America & Caribbean" 1991 "HND"
"Honduras" "Latin America & Caribbean" 1992 "HND"
"Honduras" "Latin America & Caribbean" 1993 "HND"
"Honduras" "Latin America & Caribbean" 1994 "HND"
"Honduras" "Latin America & Caribbean" 1995 "HND"
"Honduras" "Latin America & Caribbean" 1996 "HND"
"Honduras" "Latin America & Caribbean" 1997 "HND"
"Honduras" "Latin America & Caribbean" 1998 "HND"
"Honduras" "Latin America & Caribbean" 1999 "HND"
"Honduras" "Latin America & Caribbean" 2001 "HND"
"Honduras" "Latin America & Caribbean" 2002 "HND"
"Honduras" "Latin America & Caribbean" 2003 "HND"
"Honduras" "Latin America & Caribbean" 2004 "HND"
"Honduras" "Latin America & Caribbean" 2005 "HND"
"Honduras" "Latin America & Caribbean" 2006 "HND"
"Honduras" "Latin America & Caribbean" 2007 "HND"
"Honduras" "Latin America & Caribbean" 2008 "HND"
"Honduras" "Latin America & Caribbean" 2009 "HND"
"Hungary" "Europe & Central Asia" 1987 "HUN"
"Hungary" "Europe & Central Asia" 1989 "HUN"
"Hungary" "Europe & Central Asia" 1993 "HUN"
"Hungary" "Europe & Central Asia" 1998 "HUN"
"Hungary" "Europe & Central Asia" 1999 "HUN"
"Hungary" "Europe & Central Asia" 2000 "HUN"
"Hungary" "Europe & Central Asia" 2001 "HUN"
"Hungary" "Europe & Central Asia" 2002 "HUN"
"Hungary" "Europe & Central Asia" 2004 "HUN"
"Hungary" "Europe & Central Asia" 2007 "HUN"
"India" "South Asia" 1977.5 "IND"
"India" "South Asia" 1983 "IND"
"India" "South Asia" 1987.5 "IND"
"India" "South Asia" 1993.5 "IND"
"India" "South Asia" 2004.5 "IND"
"India" "South Asia" 2009.5 "IND"
"Indonesia" "East Asia & Pacific" 1984 "IDN"
"Indonesia" "East Asia & Pacific" 1987 "IDN"
"Indonesia" "East Asia & Pacific" 1990 "IDN"
"Indonesia" "East Asia & Pacific" 1993 "IDN"
